,matchday,date,home_team,final_result,away_team
401,12,1963-11-23,Eintracht Frankfurt,5-2,TSV 1860 München
402,13,1963-11-30,1. FC Nürnberg,2-0,MSV Duisburg
403,13,1963-11-30,Hertha BSC,2-3,Karlsruher SC
404,13,1963-11-30,1. FC Kaiserslautern,3-2,Hamburger SV
405,13,1963-11-30,VfB Stuttgart,5-0,Eintracht Braunschweig
406,13,1963-11-30,Werder Bremen,0-3,1. FC Saarbrücken
407,13,1963-11-30,Eintracht Frankfurt,3-0,Preussen Münster
408,13,1963-11-30,FC Schalke 04,2-1,TSV 1860 München
409,13,1963-11-30,Borussia Dortmund,2-3,1. FC Köln
410,14,1963-12-07,MSV Duisburg,3-0,VfB Stuttgart
411,14,1963-12-07,Preussen Münster,1-3,Werder Bremen
412,14,1963-12-07,Karlsruher SC,1-1,FC Schalke 04
413,14,1963-12-07,Eintracht Braunschweig,2-0,1. FC Nürnberg
414,14,1963-12-07,1. FC Saarbrücken,0-4,Eintracht Frankfurt
415,14,1963-12-07,1. FC Köln,5-1,1. FC Kaiserslautern
416,14,1963-12-07,TSV 1860 München,1-2,Hertha BSC
417,15,1963-12-14,Borussia Dortmund,3-0,Eintracht Braunschweig
418,15,1963-12-14,1. FC Nürnberg,3-2,Hamburger SV
419,15,1963-12-14,Eintracht Frankfurt,0-3,Karlsruher SC
420,15,1963-12-14,Werder Bremen,4-1,TSV 1860 München
421,15,1963-12-14,1. FC Kaiserslautern,1-1,MSV Duisburg
422,15,1963-12-14,FC Schalke 04,4-1,1. FC Saarbrücken
423,15,1963-12-14,VfB Stuttgart,0-1,1. FC Köln
424,15,1963-12-14,Hertha BSC,2-0,Preussen Münster
425,14,1963-12-21,Hamburger SV,2-1,Borussia Dortmund
426,16,1964-01-11,Eintracht Braunschweig,0-1,TSV 1860 München
427,16,1964-01-11,1. FC Köln,1-3,1. FC Saarbrücken
428,16,1964-01-11,1. FC Kaiserslautern,1-1,Eintracht Frankfurt
429,16,1964-01-11,Hamburger SV,5-0,Preussen Münster
430,16,1964-01-11,MSV Duisburg,2-0,Karlsruher SC
431,16,1964-01-11,1. FC Nürnberg,2-3,Hertha BSC
432,16,1964-01-11,Borussia Dortmund,4-3,Werder Bremen
433,17,1964-01-18,Werder Bremen,2-1,1. FC Nürnberg
434,17,1964-01-18,TSV 1860 München,6-1,Borussia Dortmund
435,17,1964-01-18,Karlsruher SC,2-2,1. FC Köln
436,17,1964-01-18,FC Schalke 04,4-0,1. FC Kaiserslautern
437,17,1964-01-18,Hertha BSC,0-2,VfB Stuttgart
438,17,1964-01-18,Preussen Münster,0-2,Eintracht Braunschweig
439,18,1964-01-25,Eintracht Braunschweig,3-1,1. FC Saarbrücken
440,18,1964-01-25,VfB Stuttgart,2-0,Werder Bremen
441,18,1964-01-25,MSV Duisburg,0-0,Preussen Münster
442,18,1964-01-25,1. FC Köln,2-2,TSV 1860 München
443,18,1964-01-25,Hamburger SV,1-1,Karlsruher SC
444,18,1964-01-25,1. FC Nürnberg,1-0,Eintracht Frankfurt
445,18,1964-01-25,Borussia Dortmund,3-0,FC Schalke 04
446,19,1964-02-01,FC Schalke 04,2-3,1. FC Köln
447,19,1964-02-01,Karlsruher SC,3-1,Eintracht Braunschweig
448,19,1964-02-01,Werder Bremen,2-0,1. FC Kaiserslautern
449,16,1964-02-08,VfB Stuttgart,2-0,FC Schalke 04
450,17,1964-02-08,Eintracht Frankfurt,2-2,MSV Duisburg
451,18,1964-02-08,1. FC Kaiserslautern,3-0,Hertha BSC
452,17,1964-02-08,1. FC Saarbrücken,1-1,Hamburger SV
453,19,1964-02-08,Preussen Münster,0-1,1. FC Nürnberg
454,20,1964-02-15,VfB Stuttgart,0-3,Preussen Münster
455,20,1964-02-15,MSV Duisburg,1-0,Werder Bremen
456,20,1964-02-15,Eintracht Braunschweig,0-3,Eintracht Frankfurt
457,20,1964-02-15,1. FC Kaiserslautern,2-1,TSV 1860 München
458,20,1964-02-15,Hamburger SV,3-1,FC Schalke 04
459,20,1964-02-15,Borussia Dortmund,3-2,Karlsruher SC
460,20,1964-02-15,1. FC Köln,3-1,Hertha BSC
461,20,1964-02-15,1. FC Nürnberg,2-0,1. FC Saarbrücken
462,21,1964-02-22,Karlsruher SC,1-3,1. FC Nürnberg
463,21,1964-02-22,FC Schalke 04,2-0,Eintracht Braunschweig
464,21,1964-02-22,Eintracht Frankfurt,2-1,Borussia Dortmund
465,21,1964-02-22,1. FC Saarbrücken,0-1,VfB Stuttgart
466,21,1964-02-22,Werder Bremen,1-1,1. FC Köln
467,21,1964-02-22,Preussen Münster,1-0,1. FC Kaiserslautern
468,21,1964-02-22,Hertha BSC,1-2,Hamburger SV
469,22,1964-02-29,1. FC Kaiserslautern,2-4,1. FC Saarbrücken
470,22,1964-02-29,MSV Duisburg,3-0,FC Schalke 04
471,22,1964-02-29,Borussia Dortmund,0-0,Preussen Münster
472,22,1964-02-29,VfB Stuttgart,4-1,Karlsruher SC
473,22,1964-02-29,1. FC Nürnberg,2-2,TSV 1860 München
474,22,1964-02-29,1. FC Köln,1-1,Eintracht Frankfurt
475,23,1964-03-07,Hertha BSC,0-0,Borussia Dortmund
476,23,1964-03-07,Eintracht Frankfurt,3-2,VfB Stuttgart
477,23,1964-03-07,1. FC Saarbrücken,0-2,MSV Duisburg
478,23,1964-03-07,Karlsruher SC,5-1,1. FC Kaiserslautern
479,23,1964-03-07,TSV 1860 München,9-2,Hamburger SV
480,23,1964-03-07,FC Schalke 04,4-1,1. FC Nürnberg
481,23,1964-03-07,Preussen Münster,0-2,1. FC Köln
482,23,1964-03-07,Werder Bremen,2-3,Eintracht Braunschweig
483,24,1964-03-14,Eintracht Braunschweig,2-1,Hamburger SV
484,24,1964-03-14,Karlsruher SC,2-2,1. FC Saarbrücken
485,24,1964-03-14,Eintracht Frankfurt,4-0,Hertha BSC
486,24,1964-03-14,TSV 1860 München,3-1,Preussen Münster
487,24,1964-03-14,1. FC Kaiserslautern,3-1,1. FC Nürnberg
488,24,1964-03-14,MSV Duisburg,2-2,1. FC Köln
489,24,1964-03-14,Werder Bremen,1-0,FC Schalke 04
490,24,1964-03-14,Borussia Dortmund,7-1,VfB Stuttgart
491,25,1964-03-21,FC Schalke 04,1-2,Eintracht Frankfurt
492,25,1964-03-21,Hamburger SV,3-3,MSV Duisburg
493,25,1964-03-21,VfB Stuttgart,4-0,1. FC Kaiserslautern
494,25,1964-03-21,1. FC Saarbrücken,1-2,TSV 1860 München
495,25,1964-03-21,Preussen Münster,0-0,Karlsruher SC
496,25,1964-03-21,1. FC Köln,4-1,Eintracht Braunschweig
497,25,1964-03-21,1. FC Nürnberg,4-0,Borussia Dortmund
498,22,1964-03-26,Hamburger SV,1-1,Werder Bremen
499,19,1964-03-26,TSV 1860 München,1-1,VfB Stuttgart
500,19,1964-03-27,Hertha BSC,5-2,MSV Duisburg
501,22,1964-03-30,Eintracht Braunschweig,1-1,Hertha BSC
502,19,1964-03-30,1. FC Saarbrücken,2-1,Borussia Dortmund
503,19,1964-03-30,Eintracht Frankfurt,2-2,Hamburger SV
504,21,1964-03-31,TSV 1860 München,0-0,MSV Duisburg
505,26,1964-04-04,MSV Duisburg,5-1,Eintracht Braunschweig
506,26,1964-04-04,Hamburger SV,1-1,1. FC Köln
507,26,1964-04-04,Eintracht Frankfurt,7-0,Werder Bremen
508,26,1964-04-04,Preussen Münster,2-1,1. FC Saarbrücken
509,26,1964-04-04,1. FC Kaiserslautern,0-1,Borussia Dortmund
510,26,1964-04-04,Karlsruher SC,1-0,TSV 1860 München
511,26,1964-04-04,1. FC Nürnberg,0-0,VfB Stuttgart
512,26,1964-04-04,Hertha BSC,1-0,FC Schalke 04
513,27,1964-04-11,Werder Bremen,0-0,Karlsruher SC
514,27,1964-04-11,1. FC Saarbrücken,3-0,Hertha BSC
515,27,1964-04-11,VfB Stuttgart,2-2,Hamburger SV
516,27,1964-04-11,Borussia Dortmund,0-0,MSV Duisburg
517,27,1964-04-11,TSV 1860 München,1-1,Eintracht Frankfurt
518,27,1964-04-11,FC Schalke 04,1-2,Preussen Münster
519,27,1964-04-11,Eintracht Braunschweig,0-1,1. FC Kaiserslautern
520,27,1964-04-11,1. FC Köln,5-0,1. FC Nürnberg
521,25,1964-04-15,Hertha BSC,5-2,Werder Bremen
522,28,1964-04-18,1. FC Köln,5-2,Borussia Dortmund
523,28,1964-04-18,MSV Duisburg,0-0,1. FC Nürnberg
524,28,1964-04-18,Eintracht Braunschweig,2-0,VfB Stuttgart
525,28,1964-04-18,Karlsruher SC,1-1,Hertha BSC
526,28,1964-04-18,TSV 1860 München,7-1,FC Schalke 04
527,28,1964-04-18,Hamburger SV,7-3,1. FC Kaiserslautern
528,28,1964-04-18,Preussen Münster,1-3,Eintracht Frankfurt
529,28,1964-04-18,1. FC Saarbrücken,3-2,Werder Bremen
530,29,1964-04-25,VfB Stuttgart,1-2,MSV Duisburg
531,29,1964-04-25,1. FC Kaiserslautern,3-3,1. FC Köln
532,29,1964-04-25,Eintracht Frankfurt,3-1,1. FC Saarbrücken
533,29,1964-04-25,FC Schalke 04,2-1,Karlsruher SC
534,29,1964-04-25,1. FC Nürnberg,1-0,Eintracht Braunschweig
535,29,1964-04-25,Werder Bremen,4-2,Preussen Münster
536,29,1964-04-25,Hertha BSC,3-1,TSV 1860 München
537,29,1964-05-05,Borussia Dortmund,5-2,Hamburger SV
538,30,1964-05-09,Karlsruher SC,1-2,Eintracht Frankfurt
539,30,1964-05-09,Hamburger SV,2-2,1. FC Nürnberg
540,30,1964-05-09,Eintracht Braunschweig,2-0,Borussia Dortmund
541,30,1964-05-09,1. FC Köln,2-1,VfB Stuttgart
542,30,1964-05-09,TSV 1860 München,3-2,Werder Bremen
543,30,1964-05-09,1. FC Saarbrücken,1-1,FC Schalke 04
544,30,1964-05-09,Preussen Münster,4-2,Hertha BSC
545,30,1964-05-09,MSV Duisburg,3-0,1. FC Kaiserslautern
546,1,1965-08-14,Eintracht Braunschweig,4-0,Borussia Dortmund
547,1,1965-08-14,1. FC Köln,0-1,Hannover 96
548,1,1965-08-14,Borussia Neunkirchen,1-1,Bor. Mönchengladbach
549,1,1965-08-14,SC Tasmania 1900 Berlin (-1973),2-0,Karlsruher SC
550,1,1965-08-14,Eintracht Frankfurt,2-0,Hamburger SV
551,1,1965-08-14,Werder Bremen,1-0,1. FC Nürnberg
552,1,1965-08-14,MSV Duisburg,2-2,1. FC Kaiserslautern
553,1,1965-08-14,TSV 1860 München,1-0,Bayern München
554,1,1965-08-14,VfB Stuttgart,1-0,FC Schalke 04
555,2,1965-08-21,VfB Stuttgart,2-0,MSV Duisburg
556,2,1965-08-21,Hannover 96,2-1,Werder Bremen
557,2,1965-08-21,1. FC Kaiserslautern,3-2,1. FC Köln
558,2,1965-08-21,1. FC Nürnberg,1-4,TSV 1860 München
559,2,1965-08-21,Hamburger SV,2-1,Eintracht Braunschweig
560,2,1965-08-21,FC Schalke 04,0-0,Karlsruher SC
561,2,1965-08-21,Bayern München,2-0,Eintracht Frankfurt
562,2,1965-08-21,Borussia Dortmund,1-0,Borussia Neunkirchen
563,2,1965-08-21,Bor. Mönchengladbach,5-0,
564,3,1965-08-27,MSV Duisburg,5-1,FC Schalke 04
565,3,1965-08-28,TSV 1860 München,5-0,Hannover 96
566,3,1965-08-28,Karlsruher SC,3-3,Bor. Mönchengladbach
567,3,1965-08-28,SC Tasmania 1900 Berlin (-1973),0-2,Borussia Dortmund
568,3,1965-08-28,Werder Bremen,4-1,1. FC Kaiserslautern
569,3,1965-08-28,1. FC Köln,3-1,VfB Stuttgart
570,3,1965-08-28,Eintracht Braunschweig,2-4,Bayern München
571,3,1965-08-28,Borussia Neunkirchen,1-1,Hamburger SV
572,3,1965-09-03,Eintracht Frankfurt,1-2,1. FC Nürnberg
573,4,1965-09-04,Bayern München,6-0,Borussia Neunkirchen
574,4,1965-09-04,VfB Stuttgart,0-2,Werder Bremen
575,4,1965-09-04,1. FC Kaiserslautern,3-0,TSV 1860 München
576,4,1965-09-04,Borussia Dortmund,4-1,Karlsruher SC
577,4,1965-09-04,Hannover 96,4-1,Eintracht Frankfurt
578,4,1965-09-04,FC Schalke 04,0-0,Bor. Mönchengladbach
579,4,1965-09-04,Hamburger SV,5-1,
580,4,1965-09-04,1. FC Nürnberg,1-1,Eintracht Braunschweig
581,4,1965-09-04,MSV Duisburg,2-3,1. FC Köln
582,5,1965-09-11,Borussia Neunkirchen,2-1,1. FC Nürnberg
583,5,1965-09-11,Karlsruher SC,1-4,Hamburger SV
584,5,1965-09-11,Bor. Mönchengladbach,4-5,Borussia Dortmund
585,5,1965-09-11,SC Tasmania 1900 Berlin (-1973),0-2,Bayern München
586,5,1965-09-11,Werder Bremen,2-0,MSV Duisburg
587,5,1965-09-11,Eintracht Frankfurt,6-0,1. FC Kaiserslautern
588,5,1965-09-11,Eintracht Braunschweig,2-1,Hannover 96
589,5,1965-09-11,1. FC Köln,2-1,FC Schalke 04
590,5,1965-09-17,TSV 1860 München,0-0,VfB Stuttgart
591,6,1965-09-18,1. FC Kaiserslautern,1-1,Eintracht Braunschweig
592,6,1965-09-18,Bayern München,5-1,Karlsruher SC
593,6,1965-09-18,1. FC Köln,2-0,Werder Bremen
594,6,1965-09-18,Hannover 96,6-0,Borussia Neunkirchen
595,6,1965-09-18,FC Schalke 04,2-3,Borussia Dortmund
596,6,1965-09-18,VfB Stuttgart,0-0,Eintracht Frankfurt
597,6,1965-09-18,Hamburger SV,5-0,Bor. Mönchengladbach
598,6,1965-09-18,MSV Duisburg,2-3,TSV 1860 München
599,6,1965-09-18,1. FC Nürnberg,7-2,
600,7,1965-10-02,Bor. Mönchengladbach,1-2,Bayern München
601,7,1965-10-02,TSV 1860 München,2-1,1. FC Köln
602,7,1965-10-02,Borussia Dortmund,2-2,Hamburger SV
603,7,1965-10-02,Werder Bremen,2-0,FC Schalke 04
604,7,1965-10-02,SC Tasmania 1900 Berlin (-1973),1-5,Hannover 96
605,7,1965-10-02,Borussia Neunkirchen,1-4,1. FC Kaiserslautern
606,7,1965-10-02,Eintracht Frankfurt,2-0,MSV Duisburg
607,7,1965-10-02,Eintracht Braunschweig,1-1,VfB Stuttgart
608,7,1965-10-02,Karlsruher SC,1-2,1. FC Nürnberg
609,8,1965-10-16,1. FC Nürnberg,2-2,Bor. Mönchengladbach
610,8,1965-10-16,VfB Stuttgart,2-0,Borussia Neunkirchen
611,8,1965-10-16,1. FC Köln,1-0,Eintracht Frankfurt
612,8,1965-10-16,Werder Bremen,0-2,TSV 1860 München
613,8,1965-10-16,1. FC Kaiserslautern,0-0,
614,8,1965-10-16,FC Schalke 04,2-1,Hamburger SV
615,8,1965-10-16,Hannover 96,5-2,Karlsruher SC
616,8,1965-10-16,Bayern München,0-2,Borussia Dortmund
617,8,1965-10-16,MSV Duisburg,4-1,Eintracht Braunschweig
618,9,1965-10-20,Bor. Mönchengladbach,2-0,Hannover 96
619,9,1965-10-20,SC Tasmania 1900 Berlin (-1973),0-2,VfB Stuttgart
620,9,1965-10-20,Borussia Neunkirchen,0-1,MSV Duisburg
621,9,1965-10-20,Borussia Dortmund,2-0,1. FC Nürnberg
622,9,1965-10-20,Karlsruher SC,1-0,1. FC Kaiserslautern
623,9,1965-10-20,Eintracht Braunschweig,1-2,1. FC Köln
624,9,1965-10-20,TSV 1860 München,3-0,FC Schalke 04
625,9,1965-10-20,Eintracht Frankfurt,1-0,Werder Bremen
626,9,1965-10-20,Hamburger SV,0-4,Bayern München
627,10,1965-10-23,FC Schalke 04,1-1,Bayern München
628,10,1965-10-23,VfB Stuttgart,1-0,Karlsruher SC
629,10,1965-10-23,TSV 1860 München,4-2,Eintracht Frankfurt
630,10,1965-10-23,Hannover 96,1-1,Borussia Dortmund
631,10,1965-10-23,1. FC Kaiserslautern,1-2,Bor. Mönchengladbach
632,10,1965-10-23,1. FC Köln,4-2,Borussia Neunkirchen
633,10,1965-10-23,MSV Duisburg,3-0,
634,10,1965-10-23,1. FC Nürnberg,5-0,Hamburger SV
635,10,1965-10-23,Werder Bremen,4-0,Eintracht Braunschweig
636,11,1965-10-30,Bayern München,0-0,1. FC Nürnberg
637,11,1965-10-30,Borussia Dortmund,4-0,1. FC Kaiserslautern
638,11,1965-10-30,Eintracht Frankfurt,4-1,FC Schalke 04
639,11,1965-10-30,Eintracht Braunschweig,2-2,TSV 1860 München
640,11,1965-10-30,SC Tasmania 1900 Berlin (-1973),0-6,1. FC Köln
641,11,1965-10-30,Bor. Mönchengladbach,1-0,VfB Stuttgart
642,11,1965-10-30,Karlsruher SC,0-4,MSV Duisburg
643,11,1965-10-30,Hamburger SV,2-1,Hannover 96
644,11,1965-11-05,Borussia Neunkirchen,1-2,Werder Bremen
645,12,1965-11-06,Eintracht Frankfurt,4-1,Eintracht Braunschweig
646,12,1965-11-06,FC Schalke 04,1-0,1. FC Nürnberg
647,12,1965-11-06,VfB Stuttgart,1-1,Borussia Dortmund
648,12,1965-11-06,Hannover 96,3-4,Bayern München
649,12,1965-11-06,1. FC Köln,2-0,Karlsruher SC
650,12,1965-11-06,MSV Duisburg,3-2,Bor. Mönchengladbach
651,12,1965-11-06,1. FC Kaiserslautern,2-1,Hamburger SV
652,12,1965-11-06,TSV 1860 München,4-1,Borussia Neunkirchen
653,12,1965-11-06,Werder Bremen,5-0,
654,13,1965-11-20,Bor. Mönchengladbach,2-3,1. FC Köln
655,13,1965-11-20,Borussia Neunkirchen,1-6,Eintracht Frankfurt
656,13,1965-11-20,Karlsruher SC,3-2,Werder Bremen
657,13,1965-11-20,Borussia Dortmund,1-1,MSV Duisburg
658,13,1965-11-20,SC Tasmania 1900 Berlin (-1973),0-5,TSV 1860 München
659,13,1965-11-20,1. FC Nürnberg,2-1,Hannover 96
660,13,1965-11-20,Hamburger SV,4-1,VfB Stuttgart
661,13,1965-11-20,Bayern München,3-0,1. FC Kaiserslautern
662,13,1965-11-20,Eintracht Braunschweig,3-0,FC Schalke 04
663,14,1965-11-27,1. FC Köln,1-2,Borussia Dortmund
664,14,1965-11-27,VfB Stuttgart,0-1,Bayern München
665,14,1965-11-27,Eintracht Frankfurt,4-0,
666,14,1965-11-27,FC Schalke 04,1-0,Hannover 96
667,14,1965-11-27,Eintracht Braunschweig,1-2,Borussia Neunkirchen
668,14,1965-11-27,Werder Bremen,2-0,Bor. Mönchengladbach
669,14,1965-11-27,TSV 1860 München,2-0,Karlsruher SC
670,14,1965-11-27,MSV Duisburg,3-1,Hamburger SV
671,14,1965-12-03,1. FC Kaiserslautern,0-0,1. FC Nürnberg
672,15,1965-12-04,Hannover 96,4-0,1. FC Kaiserslautern
673,15,1965-12-04,Borussia Neunkirchen,1-0,FC Schalke 04
674,15,1965-12-04,Hamburger SV,2-2,1. FC Köln
675,15,1965-12-04,Borussia Dortmund,2-1,Werder Bremen
676,15,1965-12-04,Bayern München,3-0,MSV Duisburg
677,15,1965-12-04,Karlsruher SC,4-0,Eintracht Frankfurt
678,15,1965-12-04,1. FC Nürnberg,1-1,VfB Stuttgart
679,16,1965-12-11,Eintracht Frankfurt,3-1,Bor. Mönchengladbach
680,16,1965-12-11,VfB Stuttgart,4-2,Hannover 96
681,16,1965-12-11,Borussia Neunkirchen,3-1,
682,16,1965-12-11,1. FC Köln,6-1,Bayern München
683,16,1965-12-11,TSV 1860 München,2-1,Borussia Dortmund
684,16,1965-12-11,Eintracht Braunschweig,2-0,Karlsruher SC
685,16,1965-12-11,FC Schalke 04,2-1,1. FC Kaiserslautern
686,16,1965-12-11,Werder Bremen,2-0,Hamburger SV
687,17,1965-12-18,Bor. Mönchengladbach,1-0,Eintracht Braunschweig
688,17,1965-12-18,Karlsruher SC,1-1,Borussia Neunkirchen
689,17,1965-12-18,Hamburger SV,1-2,TSV 1860 München
690,17,1965-12-18,SC Tasmania 1900 Berlin (-1973),1-2,FC Schalke 04
691,17,1965-12-18,1. FC Nürnberg,2-0,1. FC Köln
692,17,1965-12-18,Bayern München,3-1,Werder Bremen
693,17,1965-12-18,Hannover 96,0-3,MSV Duisburg
694,17,1965-12-24,1. FC Kaiserslautern,1-2,VfB Stuttgart
695,16,1965-12-29,MSV Duisburg,1-2,1. FC Nürnberg
696,15,1965-12-29,Bor. Mönchengladbach,1-1,TSV 1860 München
697,15,1965-12-31,SC Tasmania 1900 Berlin (-1973),0-2,Eintracht Braunschweig
698,18,1966-01-08,1. FC Kaiserslautern,1-0,MSV Duisburg
699,18,1966-01-08,1. FC Nürnberg,2-1,Werder Bremen
700,18,1966-01-08,Borussia Dortmund,1-1,Eintracht Braunschweig
701,18,1966-01-08,Hannover 96,1-1,1. FC Köln
702,18,1966-01-08,Karlsruher SC,3-0,
703,18,1966-01-08,Hamburger SV,0-1,Eintracht Frankfurt
704,18,1966-01-08,Bor. Mönchengladbach,4-1,Borussia Neunkirchen
705,18,1966-01-14,Bayern München,3-0,TSV 1860 München
706,18,1966-01-14,FC Schalke 04,2-0,VfB Stuttgart
707,19,1966-01-15,MSV Duisburg,5-2,VfB Stuttgart
708,19,1966-01-15,SC Tasmania 1900 Berlin (-1973),0-0,Bor. Mönchengladbach
709,19,1966-01-15,Borussia Neunkirchen,1-3,Borussia Dortmund
710,19,1966-01-15,Eintracht Frankfurt,0-0,Bayern München
711,19,1966-01-15,Werder Bremen,3-3,Hannover 96
712,19,1966-01-15,1. FC Köln,3-2,1. FC Kaiserslautern
713,19,1966-01-15,Eintracht Braunschweig,1-4,Hamburger SV
714,19,1966-01-15,Karlsruher SC,1-0,FC Schalke 04
715,19,1966-01-15,TSV 1860 München,1-1,1. FC Nürnberg
716,17,1966-01-19,Borussia Dortmund,3-0,Eintracht Frankfurt
717,20,1966-01-29,Borussia Dortmund,3-1,
718,20,1966-01-29,Bor. Mönchengladbach,1-1,Karlsruher SC
719,20,1966-01-29,Hamburger SV,3-0,Borussia Neunkirchen
720,20,1966-01-29,1. FC Kaiserslautern,2-3,Werder Bremen
721,20,1966-01-29,VfB Stuttgart,0-1,1. FC Köln
722,20,1966-01-29,1. FC Nürnberg,0-0,Eintracht Frankfurt
723,20,1966-01-29,FC Schalke 04,0-0,MSV Duisburg
724,20,1966-01-29,Hannover 96,0-1,TSV 1860 München
725,20,1966-01-29,Bayern München,2-2,Eintracht Braunschweig
726,21,1966-02-05,Borussia Neunkirchen,0-4,Bayern München
727,21,1966-02-05,Bor. Mönchengladbach,2-0,FC Schalke 04
728,21,1966-02-05,SC Tasmania 1900 Berlin (-1973),0-4,Hamburger SV
729,21,1966-02-05,Werder Bremen,3-1,VfB Stuttgart
730,21,1966-02-05,Karlsruher SC,0-0,Borussia Dortmund
731,21,1966-02-05,Eintracht Frankfurt,0-1,Hannover 96
732,21,1966-02-05,1. FC Köln,1-1,MSV Duisburg
733,21,1966-02-05,Eintracht Braunschweig,3-0,1. FC Nürnberg
734,22,1966-02-12,MSV Duisburg,1-2,Werder Bremen
735,22,1966-02-12,1. FC Nürnberg,3-1,Borussia Neunkirchen
736,22,1966-02-12,Hamburger SV,8-0,Karlsruher SC
737,22,1966-02-12,Borussia Dortmund,3-1,Bor. Mönchengladbach
738,22,1966-02-12,Bayern München,2-1,
739,22,1966-02-12,VfB Stuttgart,0-0,TSV 1860 München
740,22,1966-02-12,FC Schalke 04,0-0,1. FC Köln
741,22,1966-02-12,1. FC Kaiserslautern,5-2,Eintracht Frankfurt
742,23,1966-02-26,Bor. Mönchengladbach,0-0,Hamburger SV
743,23,1966-02-26,SC Tasmania 1900 Berlin (-1973),0-1,1. FC Nürnberg
744,23,1966-02-26,Eintracht Braunschweig,1-1,1. FC Kaiserslautern
745,23,1966-02-26,Karlsruher SC,1-0,Bayern München
746,23,1966-02-26,Werder Bremen,2-1,1. FC Köln
747,23,1966-02-26,Borussia Neunkirchen,1-0,Hannover 96
748,23,1966-02-26,Borussia Dortmund,7-0,FC Schalke 04
749,23,1966-02-26,Eintracht Frankfurt,3-2,VfB Stuttgart
750,23,1966-02-26,TSV 1860 München,3-3,MSV Duisburg
751,24,1966-03-05,MSV Duisburg,0-0,Eintracht Frankfurt
752,24,1966-03-05,1. FC Nürnberg,3-0,Karlsruher SC
753,24,1966-03-05,Bayern München,5-2,Bor. Mönchengladbach
754,24,1966-03-05,1. FC Köln,3-1,TSV 1860 München
755,24,1966-03-05,VfB Stuttgart,0-1,Eintracht Braunschweig
756,24,1966-03-05,FC Schalke 04,1-6,Werder Bremen
757,24,1966-03-05,Hannover 96,5-0,
758,24,1966-03-05,1. FC Kaiserslautern,0-0,Borussia Neunkirchen
759,24,1966-03-05,Hamburger SV,1-1,Borussia Dortmund
760,25,1966-03-12,Eintracht Braunschweig,1-0,MSV Duisburg
761,25,1966-03-12,Borussia Dortmund,3-0,Bayern München
762,25,1966-03-12,Bor. Mönchengladbach,8-3,1. FC Nürnberg
763,25,1966-03-12,Borussia Neunkirchen,1-2,VfB Stuttgart
764,25,1966-03-12,Karlsruher SC,1-0,Hannover 96
765,25,1966-03-12,SC Tasmania 1900 Berlin (-1973),1-1,1. FC Kaiserslautern
766,25,1966-03-12,Hamburger SV,1-1,FC Schalke 04
767,25,1966-03-12,TSV 1860 München,3-1,Werder Bremen
768,25,1966-03-18,Eintracht Frankfurt,0-0,1. FC Köln
769,26,1966-03-19,1. FC Köln,3-0,Eintracht Braunschweig
770,26,1966-03-19,Bayern München,3-0,Hamburger SV
771,26,1966-03-19,FC Schalke 04,0-2,TSV 1860 München
772,26,1966-03-19,1. FC Nürnberg,0-0,Borussia Dortmund
773,26,1966-03-19,1. FC Kaiserslautern,1-0,Karlsruher SC
774,26,1966-03-19,Hannover 96,2-1,Bor. Mönchengladbach
775,26,1966-03-19,VfB Stuttgart,2-0,
776,26,1966-03-19,MSV Duisburg,1-0,Borussia Neunkirchen
777,26,1966-03-19,Werder Bremen,3-2,Eintracht Frankfurt
778,27,1966-03-26,Hamburger SV,0-2,1. FC Nürnberg
779,27,1966-03-26,Eintracht Braunschweig,1-0,Werder Bremen
780,27,1966-03-26,Bayern München,1-0,FC Schalke 04
781,27,1966-03-26,Karlsruher SC,3-0,VfB Stuttgart
782,27,1966-03-26,Eintracht Frankfurt,5-2,TSV 1860 München
783,27,1966-03-26,Borussia Dortmund,4-0,Hannover 96
784,27,1966-03-26,Bor. Mönchengladbach,2-0,1. FC Kaiserslautern
785,27,1966-03-26,Borussia Neunkirchen,2-1,1. FC Köln
786,27,1966-03-26,SC Tasmania 1900 Berlin (-1973),0-9,MSV Duisburg
787,28,1966-04-02,MSV Duisburg,8-2,Karlsruher SC
788,28,1966-04-02,1. FC Köln,4-0,
789,28,1966-04-02,1. FC Nürnberg,2-2,Bayern München
790,28,1966-04-02,1. FC Kaiserslautern,0-0,Borussia Dortmund
791,28,1966-04-02,Werder Bremen,5-2,Borussia Neunkirchen
792,28,1966-04-02,FC Schalke 04,3-2,Eintracht Frankfurt
793,28,1966-04-02,TSV 1860 München,1-1,Eintracht Braunschweig
794,28,1966-04-02,Hannover 96,0-0,Hamburger SV
795,28,1966-04-02,VfB Stuttgart,5-0,Bor. Mönchengladbach
796,22,1966-04-07,Hannover 96,1-1,Eintracht Braunschweig
797,21,1966-04-12,TSV 1860 München,4-2,1. FC Kaiserslautern
798,29,1966-04-16,1. FC Nürnberg,1-0,FC Schalke 04
799,29,1966-04-16,Borussia Dortmund,4-0,VfB Stuttgart
800,29,1966-04-16,SC Tasmania 1900 Berlin (-1973),1-1,Werder Bremen
801,29,1966-04-16,Karlsruher SC,2-1,1. FC Köln
802,29,1966-04-16,Bayern München,3-1,Hannover 96
803,29,1966-04-16,Bor. Mönchengladbach,1-2,MSV Duisburg
804,29,1966-04-16,Hamburger SV,4-1,1. FC Kaiserslautern
